CHAMPION_ID,CHAMPION_NAME,MOST_PICKED_LANE,PRIMARY_LANE_SHARE,GLOBAL_GAMES_PLAYED,GLOBAL_PICK_RATE,GLOBAL_WIN_RATE,GLOBAL_BAN_RATE
121,KHAZIX,JUNGLE,0.9902,610,0.1036,0.5033,0.0819
420,ILLAOI,TOP,0.9516,62,0.0105,0.4426,0.0068
131,DIANA,JUNGLE,0.8794,821,0.1394,0.5156,0.392
1,ANNIE,MIDDLE,0.7091,55,0.0093,0.4364,0.0008
166,AKSHAN,MIDDLE,0.9188,345,0.0586,0.5279,0.1172
35,SHACO,JUNGLE,0.8194,310,0.0526,0.5049,0.0956
4,TWISTEDFATE,MIDDLE,0.9459,296,0.0503,0.471,0.0034
58,RENEKTON,TOP,0.9456,423,0.0718,0.4904,0.0613
350,YUUMI,SUPPORT,0.9942,173,0.0294,0.4678,0.0117
10,KAYLE,TOP,0.6834,259,0.044,0.5116,0.0414
21,MISSFORTUNE,BOTTOM,0.9788,283,0.0481,0.4786,0.0149
77,UDYR,JUNGLE,0.7712,153,0.026,0.3867,0.0119
62,MONKEYKING,JUNGLE,0.6264,174,0.0296,0.5,0.0034
102,SHYVANA,JUNGLE,0.9615,26,0.0044,0.4231,0.0003
246,QIYANA,JUNGLE,0.4706,527,0.0895,0.4914,0.1573
238,ZED,MIDDLE,0.5213,727,0.1235,0.5098,0.284
114,FIORA,TOP,0.9401,284,0.0482,0.5556,0.1568
74,HEIMERDINGER,TOP,0.5167,60,0.0102,0.4068,0.0015
61,ORIANNA,MIDDLE,0.9798,397,0.0674,0.5077,0.0287
161,VELKOZ,MIDDLE,0.4267,300,0.051,0.5238,0.007
106,VOLIBEAR,JUNGLE,0.6708,562,0.0954,0.5271,0.062
245,EKKO,JUNGLE,0.6189,774,0.1315,0.5294,0.2471
17,TEEMO,TOP,0.7571,70,0.0119,0.4706,0.0061
28,EVELYNN,JUNGLE,1,111,0.0189,0.4324,0.0231
38,KASSADIN,MIDDLE,0.9827,520,0.0883,0.5088,0.1554
101,XERATH,MIDDLE,0.8047,169,0.0287,0.5152,0.0034
115,ZIGGS,BOTTOM,0.8167,180,0.0306,0.452,0.0032
142,ZOE,MIDDLE,0.8408,289,0.0491,0.5174,0.0326
76,NIDALEE,JUNGLE,0.6216,185,0.0314,0.5165,0.0092
12,ALISTAR,SUPPORT,0.9976,409,0.0695,0.5333,0.029
75,NASUS,TOP,0.7007,147,0.025,0.6014,0.0078
16,SORAKA,SUPPORT,0.9567,277,0.047,0.5018,0.0095
127,LISSANDRA,MIDDLE,0.9242,132,0.0224,0.5344,0.0061
122,DARIUS,TOP,0.9531,277,0.047,0.4708,0.0858
113,SEJUANI,JUNGLE,0.6548,84,0.0143,0.5238,0.0003
91,TALON,JUNGLE,0.8289,485,0.0824,0.5073,0.2872
85,KENNEN,TOP,0.8367,251,0.0426,0.5466,0.0214
164,CAMILLE,TOP,0.8846,156,0.0265,0.5987,0.0066
136,AURELIONSOL,MIDDLE,0.5541,231,0.0392,0.4574,0.0059
429,KALISTA,BOTTOM,0.8679,106,0.018,0.5238,0.0019
64,LEESIN,JUNGLE,0.87,454,0.0771,0.4633,0.0224
518,NEEKO,SUPPORT,0.8188,287,0.0487,0.5106,0.0148
895,NILAH,BOTTOM,0.9913,115,0.0195,0.4956,0.0277
2,OLAF,TOP,0.9072,194,0.0329,0.4555,0.0206
266,AATROX,TOP,0.6646,480,0.0815,0.4444,0.0489
145,KAISA,BOTTOM,0.964,861,0.1462,0.4935,0.009
875,SETT,TOP,0.936,203,0.0345,0.4372,0.0073
236,LUCIAN,BOTTOM,0.9634,464,0.0788,0.4717,0.0345
800,MEL,MIDDLE,0.5708,240,0.0408,0.4664,0.186
107,RENGAR,JUNGLE,0.9606,381,0.0647,0.5556,0.3045
950,NAAFIRI,MIDDLE,0.4144,473,0.0803,0.4473,0.0853
11,MASTERYI,JUNGLE,0.8984,246,0.0418,0.4876,0.0559
43,KARMA,SUPPORT,0.951,673,0.1143,0.476,0.0513
254,VI,JUNGLE,0.9672,122,0.0207,0.5,0.0019
6,URGOT,TOP,0.9774,221,0.0375,0.4931,0.0053
904,ZAAHEN,TOP,0.887,407,0.0691,0.5138,0.0594
90,MALZAHAR,MIDDLE,0.8795,166,0.0282,0.4938,0.0144
14,SION,TOP,0.7787,375,0.0637,0.5217,0.009
19,WARWICK,TOP,0.5507,138,0.0234,0.4586,0.0039
517,SYLAS,MIDDLE,0.529,620,0.1053,0.5329,0.091
143,ZYRA,JUNGLE,0.3851,161,0.0273,0.4528,0.0061
96,KOGMAW,BOTTOM,0.8108,148,0.0251,0.5473,0.0027
134,SYNDRA,MIDDLE,0.9232,573,0.0973,0.5355,0.1068
25,MORGANA,SUPPORT,0.5586,145,0.0246,0.5245,0.017
157,YASUO,MIDDLE,0.6199,863,0.1466,0.4994,0.1316
67,VAYNE,BOTTOM,0.5299,585,0.0994,0.5043,0.0841
33,RAMMUS,JUNGLE,0.9221,77,0.0131,0.4416,0.0041
103,AHRI,MIDDLE,0.9489,450,0.0764,0.5305,0.0138
203,KINDRED,JUNGLE,0.9774,133,0.0226,0.4962,0.0131
8,VLADIMIR,MIDDLE,0.4681,329,0.0559,0.5,0.0518
201,BRAUM,SUPPORT,1,661,0.1123,0.5008,0.2019
89,LEONA,SUPPORT,1,391,0.0664,0.5337,0.0156
888,RENATA,SUPPORT,0.9767,86,0.0146,0.4302,0.0003
887,GWEN,JUNGLE,0.48,500,0.0849,0.5374,0.1804
235,SENNA,SUPPORT,0.8986,276,0.0469,0.5147,0.0039
60,ELISE,JUNGLE,0.5539,343,0.0583,0.4655,0.0384
110,VARUS,BOTTOM,0.6616,1114,0.1892,0.4891,0.4837
104,GRAVES,JUNGLE,0.8855,131,0.0222,0.4962,0.0039
267,NAMI,SUPPORT,0.9991,1090,0.1851,0.4912,0.0212
81,EZREAL,BOTTOM,0.9615,571,0.097,0.4413,0.0155
40,JANNA,SUPPORT,0.9947,561,0.0953,0.5298,0.0503
9,FIDDLESTICKS,JUNGLE,0.6344,227,0.0386,0.5158,0.0189
119,DRAVEN,BOTTOM,0.973,333,0.0566,0.5378,0.3376
234,VIEGO,JUNGLE,0.9354,913,0.1551,0.4751,0.1252
98,SHEN,TOP,0.9234,274,0.0465,0.5333,0.0058
48,TRUNDLE,TOP,0.4043,94,0.016,0.4348,0.0005
20,NUNU,JUNGLE,0.9171,205,0.0348,0.5572,0.027
268,AZIR,MIDDLE,0.9618,131,0.0222,0.3893,0.0039
421,REKSAI,JUNGLE,0.8706,286,0.0486,0.5371,0.0172
42,CORKI,BOTTOM,0.8923,678,0.1151,0.4903,0.0397
30,KARTHUS,JUNGLE,0.5496,262,0.0445,0.4808,0.0141
233,BRIAR,JUNGLE,0.8448,116,0.0197,0.531,0.0119
3,GALIO,MIDDLE,0.8161,348,0.0591,0.523,0.0132
15,SIVIR,BOTTOM,1,408,0.0693,0.4764,0.0409
45,VEIGAR,MIDDLE,0.636,250,0.0425,0.551,0.0027
141,KAYN,JUNGLE,0.8889,180,0.0306,0.4494,0.0082
63,BRAND,SUPPORT,0.375,152,0.0258,0.4702,0.0036
111,NAUTILUS,SUPPORT,0.9794,826,0.1403,0.5,0.0932
516,ORNN,TOP,0.985,334,0.0567,0.5468,0.0022
24,JAX,TOP,0.7276,492,0.0836,0.5309,0.1551
23,TRYNDAMERE,TOP,0.7961,103,0.0175,0.4466,0.0087
711,VEX,MIDDLE,0.9333,135,0.0229,0.4889,0.017
41,GANGPLANK,TOP,0.9549,355,0.0603,0.5229,0.02
799,AMBESSA,TOP,0.6198,697,0.1184,0.4766,0.1668
36,DRMUNDO,JUNGLE,0.5383,561,0.0953,0.5305,0.0712
72,SKARNER,JUNGLE,0.9231,39,0.0066,0.4359,0.0003
897,KSANTE,TOP,0.931,290,0.0493,0.5141,0.0131
37,SONA,SUPPORT,0.9939,492,0.0836,0.5248,0.0214
223,TAHMKENCH,SUPPORT,0.573,89,0.0151,0.4607,0.0024
555,PYKE,SUPPORT,0.9892,370,0.0628,0.5315,0.4022
44,TARIC,SUPPORT,0.9935,153,0.026,0.5066,0.0056
82,MORDEKAISER,TOP,0.8514,175,0.0297,0.4057,0.01
240,KLED,TOP,0.9541,109,0.0185,0.4815,0.0061
69,CASSIOPEIA,MIDDLE,0.4916,238,0.0404,0.5381,0.0311
83,YORICK,TOP,0.9706,136,0.0231,0.5037,0.0185
99,LUX,MIDDLE,0.3959,293,0.0498,0.531,0.0022
27,SINGED,TOP,0.7926,217,0.0369,0.507,0.0119
523,APHELIOS,BOTTOM,0.9901,705,0.1197,0.5259,0.1102
84,AKALI,MIDDLE,0.7667,540,0.0917,0.486,0.2383
79,GRAGAS,TOP,0.6415,212,0.036,0.4857,0.0039
105,FIZZ,MIDDLE,0.9392,181,0.0307,0.5056,0.0165
902,MILIO,SUPPORT,0.9918,368,0.0625,0.5152,0.0277
5,XINZHAO,JUNGLE,0.8951,143,0.0243,0.4929,0.0037
497,RAKAN,SUPPORT,0.9936,466,0.0791,0.4891,0.007
