CHAMPION_NAME,ITEM_NAME,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
LISSANDRA,Mercury's Treads,Boots,0.1176,0.5,1.25,15,Haunting Guise,Malignance,Rod Of Ages
APHELIOS,Death's Dance,Legendary,0.0108,1,3.11,35,Guardian Angel,Immortal Shieldbow,Infinity Edge
VIKTOR,Refillable Potion,Consumable,0.0556,0,0.97,5,Blackfire Torch,Doran's Ring,Control Ward
LUX,Shurelya's Battlesong,Legendary,0.1282,0,2.05,15,Zhonya's Hourglass,Horizon Focus,Luden's Companion
EVELYNN,Verdant Barrier,Epic,0.125,1,17.00,30,Lich Bane,Mejai's Soulstealer,Rabadon's Deathcap
GAREN,Lord Dominik's Regards,Legendary,0.0541,1,4.04,20,Phantom Dancer,Stridebreaker,Sterak's Gage
YASUO,Spirit Visage,Legendary,0.0078,1,2.00,30,Bloodthirster,Infinity Edge,Phantom Dancer
GRAVES,Lord Dominik's Regards,Legendary,0.4762,0.5,2.10,25,The Collector,Immortal Shieldbow,Youmuu's Ghostblade
KAISA,Shadowflame,Legendary,0.0291,0.6667,3.35,30,Guinsoo's Rageblade,Kraken Slayer,Dusk And Dawn
MEL,Farsight Alteration,Trinket,0.7941,0.3704,3.21,15,Blackfire Torch,Rabadon's Deathcap,Doran's Ring
BELVETH,Caulfield's Warhammer,Epic,0.0952,0.5,3.46,20,Steel Sigil,Kraken Slayer,Maw Of Malmortius
GANGPLANK,Cloak Of Agility,Basic,0.52,0.4615,1.80,10,Essence Reaver,Plated Steelcaps,B. F. Sword
GWEN,Amplifying Tome,Basic,0.3077,0.25,1.67,5,Dusk And Dawn,Nashor's Tooth,Rabadon's Deathcap
YASUO,Farsight Alteration,Trinket,0.3828,0.5306,1.75,15,Immortal Shieldbow,Doran's Blade,Blade Of The Ruined King
LEBLANC,Hextech Alternator,Epic,0.0833,0,1.22,10,Luden's Companion,Aether Wisp,Rabadon's Deathcap
NIDALEE,Shadowflame,Legendary,0.3125,0.4,3.54,20,Lich Bane,Rabadon's Deathcap,Zhonya's Hourglass
WARWICK,Stealth Ward,Trinket,0.2727,0.3333,0.98,5,Blade Of The Ruined King,Doran's Blade,Stridebreaker
AMBESSA,Mercury's Treads,Boots,0.234,0.5909,3.39,20,Eclipse,Spear Of Shojin,Death's Dance
RUMBLE,Mercury's Treads,Boots,0.0333,1,5.00,15,Haunting Guise,Liandry's Torment,Riftmaker
CASSIOPEIA,Kindlegem,Epic,0.0385,0,0.70,20,Rod Of Ages,,
NAAFIRI,Lord Dominik's Regards,Legendary,0.0159,0,1.86,20,Death's Dance,Endless Hunger,
TRUNDLE,Tunneler,Epic,0.0909,0,0.18,25,Blade Of The Ruined King,Ravenous Hydra,Winged Moonplate
KINDRED,Last Whisper,Epic,0.1333,0.5,2.10,25,Infinity Edge,The Collector,Trinity Force
SYLAS,Sorcerer's Shoes,Boots,0.1596,0.6,3.11,15,Hextech Rocketbelt,Zhonya's Hourglass,Riftmaker
MEL,Control Ward,Consumable,0.0882,0,0.99,5,Blackfire Torch,Amplifying Tome,Doran's Ring
SION,Warden's Mail,Epic,0.0256,0,3.80,30,"Jak'sho, The Protean",Spirit Visage,Sunfire Aegis
TWITCH,Verdant Barrier,Epic,0.0152,0,1.11,20,Nashor's Tooth,Rabadon's Deathcap,Zhonya's Hourglass
UDYR,Doran's Ring,Starter,0.2667,0.75,3.19,5,Mercury's Treads,Null-Magic Mantle,Plated Steelcaps
QIYANA,Mejai's Soulstealer,Legendary,0.0175,1,4.00,15,Dusk And Dawn,Hextech Gunblade,Zhonya's Hourglass
DIANA,Dark Seal,Starter,0.4167,0.4889,2.21,5,Riftmaker,Dusk And Dawn,Hextech Rocketbelt
WARWICK,Kaenic Rookern,Legendary,0.0909,1,1.44,40,Blade Of The Ruined King,Frozen Heart,Stridebreaker
YONE,B. F. Sword,Basic,0.2,0.2222,1.61,25,Immortal Shieldbow,Blade Of The Ruined King,Cloak Of Agility
AKALI,Oracle Lens,Trinket,0.5484,0.6176,2.72,15,Hextech Gunblade,Shadowflame,Dark Seal
SENNA,Forbidden Idol,Epic,0.0476,0.5,1.96,10,Black Cleaver,Echoes Of Helia,Moonstone Renewer
BLITZCRANK,Glowing Mote,Basic,0.0667,0.5,3.55,5,Boots Of Swiftness,Locket Of The Iron Solari,Bramble Vest
LEONA,Abyssal Mask,Legendary,0.0545,0.6667,2.52,30,Locket Of The Iron Solari,Bandlepipes,Protoplasm Harness
HECARIM,Steel Sigil,Epic,0.2632,0.4,3.28,25,Black Cleaver,Spear Of Shojin,Eclipse
MALPHITE,Unending Despair,Legendary,0.0423,0.3333,2.19,25,Frozen Heart,Randuin's Omen,"Jak'sho, The Protean"
NEEKO,Aether Wisp,Epic,0.0256,0,2.80,30,Hextech Alternator,Hextech Rocketbelt,Zhonya's Hourglass
ASHE,Fiendhunter Bolts,Legendary,0.2083,0.4,2.06,20,Kraken Slayer,Infinity Edge,Lord Dominik's Regards
CHOGATH,Force Of Nature,Legendary,0.2,0.25,1.83,25,Dead Man's Plate,Heartsteel,Riftmaker
FIZZ,Blighting Jewel,Epic,0.1579,0.3333,1.82,25,Lich Bane,Zhonya's Hourglass,Shadowflame
KOGMAW,Sorcerer's Shoes,Boots,0.2143,0.6667,3.07,15,Dusk And Dawn,Guinsoo's Rageblade,
AURORA,Void Staff,Legendary,0.0455,1,5.00,20,Luden's Companion,,
GALIO,Thornmail,Legendary,0.1,0.8,4.19,25,Hollow Radiance,Abyssal Mask,Frozen Heart
VELKOZ,Fated Ashes,Epic,0.0588,1,2.08,10,Horizon Focus,Luden's Companion,Oblivion Orb
ZED,Serylda's Grudge,Legendary,0.3548,0.4545,3.01,25,Voltaic Cyclosword,Edge Of Night,Axiom Arc
PYKE,Hubris,Legendary,0.02,0,2.33,15,Umbral Glaive,,
GANGPLANK,The Collector,Legendary,0.36,0.6667,1.91,20,Essence Reaver,Infinity Edge,Mortal Reminder
RAMMUS,Stealth Ward,Trinket,0.2,0,1.99,5,Chain Vest,Thornmail,Bami's Cinder
RENATA,Nashor's Tooth,Legendary,0.2222,0,2.46,10,Rabadon's Deathcap,Shadowflame,
DRAVEN,Randuin's Omen,Legendary,0.0227,0,1.27,40,Bloodthirster,Essence Reaver,Infinity Edge
DARIUS,Black Cleaver,Legendary,0.0244,1,0.71,15,Spear Of Shojin,,
UDYR,Kaenic Rookern,Legendary,0.0667,0,1.60,25,Liandry's Torment,,
SERAPHINE,Amplifying Tome,Basic,0.1875,0.6667,5.60,5,Blackfire Torch,Echoes Of Helia,Ionian Boots Of Lucidity
KAYLE,Blasting Wand,Basic,0.1034,0.6667,0.87,10,Boots Of Swiftness,Nashor's Tooth,Sheen
NOCTURNE,Serpent's Fang,Legendary,0.0667,1,2.86,25,Axiom Arc,Edge Of Night,Profane Hydra
TEEMO,Stealth Ward,Trinket,0.7143,0.6,1.18,5,Liandry's Torment,Malignance,Boots Of Swiftness
LEESIN,Tiamat,Epic,0.0139,1,2.00,10,Black Cleaver,Eclipse,Sundered Sky
APHELIOS,Executioner's Calling,Epic,0.0323,0.3333,1.20,20,Infinity Edge,Stormrazor,The Collector
JARVANIV,Spectre's Cowl,Epic,0.0149,1,2.50,25,Axiom Arc,Profane Hydra,Spear Of Shojin
CAITLYN,Mortal Reminder,Legendary,0.07,0.5714,3.40,25,Infinity Edge,The Collector,Rapid Firecannon
NEEKO,Ionian Boots Of Lucidity,Boots,0.7179,0.4286,2.77,20,Hextech Rocketbelt,Zhonya's Hourglass,Frozen Heart
IVERN,Redemption,Legendary,0.5652,0.3846,3.54,15,Moonstone Renewer,Dawncore,Ardent Censer
CASSIOPEIA,Seeker's Armguard,Epic,0.0385,1,4.00,30,Haunting Guise,Rod Of Ages,Rylai's Crystal Scepter
RENATA,Redemption,Legendary,0.2222,1,2.64,20,Bandlepipes,Imperial Mandate,Locket Of The Iron Solari
AZIR,Doran's Ring,Starter,0.4615,0.3333,3.13,5,Nashor's Tooth,Amplifying Tome,Dark Seal
SWAIN,Seeker's Armguard,Epic,0.0909,0.25,3.50,25,Rylai's Crystal Scepter,Blackfire Torch,Malignance
KAYN,Spear Of Shojin,Legendary,0.1379,0.5,2.45,15,Black Cleaver,Death's Dance,Serylda's Grudge
AZIR,Sorcerer's Shoes,Boots,0.2308,0.3333,1.60,15,Nashor's Tooth,Blighting Jewel,Liandry's Torment
KOGMAW,Giant's Belt,Epic,0.0714,1,3.33,25,Blade Of The Ruined King,Guinsoo's Rageblade,Quicksilver Sash
SORAKA,Dawncore,Legendary,0.1667,0.6,3.45,25,Redemption,Moonstone Renewer,
NILAH,Noonquiver,Epic,0.0769,1,1.67,25,Infinity Edge,The Collector,
AURELIONSOL,Fated Ashes,Epic,0.1613,0.4,1.24,20,Rylai's Crystal Scepter,Blackfire Torch,Haunting Guise
TWITCH,Dagger,Basic,0.1515,0.4,1.18,10,The Collector,Yun Tal Wildarrows,Infinity Edge
TWITCH,Berserker's Greaves,Boots,0.2727,0.4444,2.17,15,Infinity Edge,Fiendhunter Bolts,The Collector
TRYNDAMERE,B. F. Sword,Basic,0.0588,0,1.14,20,Berserker's Greaves,Mortal Reminder,Ravenous Hydra
GRAGAS,Luden's Companion,Legendary,0.3182,0.5714,1.81,15,Hextech Rocketbelt,Shadowflame,Rabadon's Deathcap
FIORA,Essence Reaver,Legendary,0.0256,1,0.88,25,Ravenous Hydra,,
FIDDLESTICKS,Lich Bane,Legendary,0.0357,1,5.63,40,Banshee's Veil,Hextech Rocketbelt,Rabadon's Deathcap
SYNDRA,Control Ward,Consumable,0.0656,0.5,1.60,20,Blackfire Torch,Cosmic Drive,Dark Seal
JINX,Farsight Alteration,Trinket,0.8235,0.4821,2.15,20,Infinity Edge,Yun Tal Wildarrows,Doran's Blade
KAISA,Cryptbloom,Legendary,0.0097,0,3.67,20,Horizon Focus,Luden's Companion,
JHIN,Guardian Angel,Legendary,0.0694,0.4,3.33,35,Infinity Edge,Rapid Firecannon,Lord Dominik's Regards
YUNARA,Hexdrinker,Epic,0.0122,1,7.67,25,Caulfield's Warhammer,Fiendhunter Bolts,Infinity Edge
MORGANA,Lost Chapter,Epic,0.0769,1,3.00,10,Fated Ashes,,
SINGED,Plated Steelcaps,Boots,0.087,0.5,1.74,5,Frozen Heart,Rylai's Crystal Scepter,Chain Vest
ANNIE,Farsight Alteration,Trinket,0.5,1,2.43,15,Dark Seal,Amplifying Tome,Blackfire Torch
SYLAS,Bloodletter's Curse,Legendary,0.0319,0.3333,2.74,15,Abyssal Mask,Hextech Rocketbelt,Riftmaker
SHEN,Chain Vest,Epic,0.075,0,2.03,20,Kindlegem,Titanic Hydra,Bami's Cinder
SWAIN,Amplifying Tome,Basic,0.1591,0.1429,1.67,5,Rylai's Crystal Scepter,Malignance,Liandry's Torment
SMOLDER,Mortal Reminder,Legendary,0.0926,0.4,6.13,30,Essence Reaver,Rapid Firecannon,Spear Of Shojin
JINX,Hexoptics C44,Legendary,0.1471,0.6,2.40,30,Infinity Edge,Lord Dominik's Regards,Phantom Dancer
NIDALEE,Scorchclaw Pup,Starter,0.0313,0,0.50,5,Boots,Dark Seal,Lich Bane
MALPHITE,Frozen Heart,Legendary,0.3239,0.5217,2.85,20,Sunfire Aegis,Thornmail,Hollow Radiance
VEIGAR,Dead Man's Plate,Legendary,0.0345,1,3.80,30,Hextech Rocketbelt,Rabadon's Deathcap,
MONKEYKING,Control Ward,Consumable,0.1154,0.3333,2.08,5,Trinity Force,Black Cleaver,Plated Steelcaps
IRELIA,Hextech Gunblade,Legendary,0.0167,1,0.30,20,Blade Of The Ruined King,Endless Hunger,
CORKI,Zeal,Epic,0.0256,1,4.94,25,Infinity Edge,Essence Reaver,Immortal Shieldbow
DIANA,Abyssal Mask,Legendary,0.0185,0.5,2.75,25,Dusk And Dawn,Riftmaker,Force Of Nature
KAYN,Spirit Visage,Legendary,0.0345,1,1.75,35,Black Cleaver,Death's Dance,Voltaic Cyclosword
SENNA,Farsight Alteration,Trinket,0.0714,0.3333,2.75,20,Doran's Blade,Boots Of Swiftness,Infinity Edge
GALIO,Sorcerer's Shoes,Boots,0.06,0.3333,5.61,10,Stormsurge,Haunting Guise,Luden's Companion
SEJUANI,Glacial Buckler,Epic,0.0714,0,0.30,25,Liandry's Torment,Warden's Mail,
TEEMO,Refillable Potion,Consumable,0.1429,0,0.00,5,Boots Of Swiftness,Doran's Ring,Lost Chapter
UDYR,Riftmaker,Legendary,0.2,0.6667,3.98,15,Liandry's Torment,Bloodletter's Curse,Dead Man's Plate
TRUNDLE,Knight's Vow,Legendary,0.0909,1,3.67,25,Bandlepipes,,
THRESH,Winged Moonplate,Epic,0.0345,0.5,2.64,25,Protoplasm Harness,Bandlepipes,Locket Of The Iron Solari
TWISTEDFATE,Boots Of Swiftness,Boots,0.0556,0.5,1.20,10,Kraken Slayer,Rod Of Ages,
RENGAR,Noonquiver,Epic,0.0877,0.4,2.46,20,Profane Hydra,Edge Of Night,Umbral Glaive
THRESH,Protoplasm Harness,Legendary,0.1724,0.6,2.98,30,Locket Of The Iron Solari,Bandlepipes,Zeke's Convergence
RAMMUS,Oracle Lens,Trinket,0.6,0.3333,3.90,10,Thornmail,Mercury's Treads,Bami's Cinder
UDYR,Dead Man's Plate,Legendary,0.2667,0.5,2.78,20,Liandry's Torment,Dusk And Dawn,Frozen Heart
VARUS,Doran's Blade,Starter,0.5984,0.4658,1.98,5,Dusk And Dawn,Youmuu's Ghostblade,Nashor's Tooth
ILLAOI,Spear Of Shojin,Legendary,0.625,0.2,2.21,15,Iceborn Gauntlet,Spirit Visage,Death's Dance
XINZHAO,Maw Of Malmortius,Legendary,0.05,1,2.60,25,Death's Dance,Sundered Sky,
FIZZ,Dusk And Dawn,Legendary,0.1053,1,2.73,15,Bloodletter's Curse,Cryptbloom,Rabadon's Deathcap
AZIR,Boots,Boots,0.0769,0,1.00,10,Nashor's Tooth,,
VAYNE,Recurve Bow,Epic,0.1127,0.25,0.96,10,Blade Of The Ruined King,Experimental Hexplate,Guinsoo's Rageblade
QIYANA,Opportunity,Legendary,0.1053,0.5,3.69,20,Profane Hydra,Edge Of Night,Serylda's Grudge
VIEGO,Immortal Shieldbow,Legendary,0.0796,0.2222,1.83,25,The Collector,,
FIORA,Oracle Lens,Trinket,0.0256,0,2.27,15,Death's Dance,Endless Hunger,Randuin's Omen
SHYVANA,Tunneler,Epic,0.25,1,2.00,10,Dusk And Dawn,Kraken Slayer,
XERATH,Void Staff,Legendary,0.0909,1,8.25,30,Shadowflame,Banshee's Veil,Blackfire Torch
KAYN,Voltaic Cyclosword,Legendary,0.1724,0.2,1.35,10,Death's Dance,Black Cleaver,Bastionbreaker
RIVEN,Farsight Alteration,Trinket,0.027,0,0.27,25,Caulfield's Warhammer,Doran's Blade,Eclipse
GAREN,Boots Of Swiftness,Boots,0.2973,0.5455,2.22,15,Stridebreaker,Phantom Dancer,Mortal Reminder
AKALI,Giant's Belt,Epic,0.0161,0,2.13,30,Chain Vest,Hextech Gunblade,Negatron Cloak
KASSADIN,Dark Seal,Starter,0.3425,0.56,3.02,5,Rod Of Ages,Malignance,Mercury's Treads
NAAFIRI,Opportunity,Legendary,0.2698,0.4118,2.28,20,Voltaic Cyclosword,Edge Of Night,Serylda's Grudge
NUNU,Dead Man's Plate,Legendary,0.1034,0.6667,2.65,25,Liandry's Torment,Abyssal Mask,Kaenic Rookern
ZAAHEN,Dagger,Basic,0.0256,0,0.56,10,Black Cleaver,Long Sword,Mercury's Treads
NOCTURNE,Boots,Boots,0.2,0.3333,2.10,10,Axiom Arc,Profane Hydra,Bastionbreaker
TRUNDLE,Stealth Ward,Trinket,0.2727,0,0.82,5,Blade Of The Ruined King,Ravenous Hydra,Bandlepipes
AURELIONSOL,Bloodletter's Curse,Legendary,0.1935,0.5,6.23,25,Rylai's Crystal Scepter,Liandry's Torment,Banshee's Veil
ASHE,Immortal Shieldbow,Legendary,0.0833,1,5.17,25,Infinity Edge,Kraken Slayer,Phantom Dancer
ASHE,Infinity Edge,Legendary,0.5,0.75,3.27,25,Kraken Slayer,Phantom Dancer,Fiendhunter Bolts
SHEN,Stealth Ward,Trinket,0.4,0.625,4.18,5,Titanic Hydra,Doran's Shield,Bramble Vest
VIEGO,Elixir Of Wrath,Consumable,0.0796,0.5556,2.77,35,B. F. Sword,Guardian Angel,Lord Dominik's Regards
MONKEYKING,Glowing Mote,Basic,0.0769,0,1.29,15,Trinity Force,Long Sword,Phage
RUMBLE,Riftmaker,Legendary,0.0667,0.5,2.89,25,Liandry's Torment,,
JAYCE,Cloth Armor,Basic,0.0247,0.5,1.48,5,Boots,Edge Of Night,Opportunity
AURELIONSOL,Hollow Radiance,Legendary,0.0323,1,1.63,25,Kaenic Rookern,Rylai's Crystal Scepter,
SINGED,Protoplasm Harness,Legendary,0.4348,0.7,2.95,20,Rylai's Crystal Scepter,Liandry's Torment,Riftmaker
ASHE,Oracle Lens,Trinket,0.125,0.6667,2.44,10,Bandlepipes,Ionian Boots Of Lucidity,Berserker's Greaves
VEX,Zhonya's Hourglass,Legendary,0.1579,0.3333,3.65,25,Luden's Companion,Shadowflame,Mejai's Soulstealer
IRELIA,Long Sword,Basic,0.0833,0.4,1.17,5,Blade Of The Ruined King,Mercury's Treads,Ruby Crystal
NAUTILUS,Null-Magic Mantle,Basic,0.0729,0.5714,2.44,10,Kindlegem,Locket Of The Iron Solari,Boots Of Swiftness
FIDDLESTICKS,Kindlegem,Epic,0.0714,0.5,1.94,20,Bloodletter's Curse,Liandry's Torment,Randuin's Omen
VIEGO,Long Sword,Basic,0.2124,0.125,1.49,5,Immortal Shieldbow,The Collector,Noonquiver
MONKEYKING,Stridebreaker,Legendary,0.0769,0.5,2.08,20,Essence Reaver,Blade Of The Ruined King,Death's Dance
AKSHAN,Hexoptics C44,Legendary,0.0392,0.5,3.93,10,Infinity Edge,Lord Dominik's Regards,Mortal Reminder
TWITCH,Pickaxe,Basic,0.0758,0.6,1.44,10,Cloak Of Agility,Yun Tal Wildarrows,Runaan's Hurricane
YUNARA,Fiendhunter Bolts,Legendary,0.8293,0.5588,2.58,20,Kraken Slayer,Infinity Edge,Lord Dominik's Regards
VOLIBEAR,Navori Flickerblade,Legendary,0.7018,0.625,2.57,20,Dusk And Dawn,Spirit Visage,Dead Man's Plate
ALISTAR,Giant's Belt,Epic,0.0517,0.6667,2.52,20,Kindlegem,Bandlepipes,Zeke's Convergence
MALPHITE,Shadowflame,Legendary,0.0141,0,1.00,20,Malignance,,
MALPHITE,Mercury's Treads,Boots,0.2254,0.375,2.04,15,Hollow Radiance,Kaenic Rookern,Sunfire Aegis
MORDEKAISER,Blasting Wand,Basic,0.0455,0,1.00,5,Hextech Rocketbelt,Oblivion Orb,Plated Steelcaps
IVERN,Haunting Guise,Epic,0.0435,0,1.40,15,Malignance,Zhonya's Hourglass,
HWEI,Tear Of The Goddess,Starter,0.0455,0,0.50,5,Blackfire Torch,Fiendish Codex,Lost Chapter
IVERN,Ionian Boots Of Lucidity,Boots,0.8261,0.4737,3.64,5,Redemption,Moonstone Renewer,Malignance
SENNA,Hubris,Legendary,0.0714,0.3333,0.99,15,,,
AHRI,Refillable Potion,Consumable,0.1304,0.3333,1.10,5,Malignance,Doran's Ring,Shadowflame
VAYNE,Pickaxe,Basic,0.1831,0.5385,1.33,20,Stormrazor,Essence Reaver,Berserker's Greaves
RAKAN,Protoplasm Harness,Legendary,0.0714,1,3.44,25,Zeke's Convergence,Locket Of The Iron Solari,Bandlepipes
CAMILLE,Death's Dance,Legendary,0.0714,1,2.29,30,Ravenous Hydra,Trinity Force,
JARVANIV,Scorchclaw Pup,Starter,0.0149,0,0.29,5,Long Sword,Ionian Boots Of Lucidity,Profane Hydra
IVERN,Blasting Wand,Basic,0.0435,0,4.00,10,Forbidden Idol,Ionian Boots Of Lucidity,Moonstone Renewer
LULU,Glowing Mote,Basic,0.037,0.3333,1.85,15,Ardent Censer,Ionian Boots Of Lucidity,Aether Wisp
SINGED,Blasting Wand,Basic,0.0435,0,1.60,10,Boots Of Swiftness,Giant's Belt,Liandry's Torment
SAMIRA,Serpent's Fang,Legendary,0.08,0,2.45,30,Infinity Edge,The Collector,Bloodthirster
SHACO,Last Whisper,Epic,0.08,0.5,1.78,20,Noonquiver,Profane Hydra,The Collector
SETT,Spear Of Shojin,Legendary,0.1111,0,2.38,25,Overlord's Bloodmail,Sterak's Gage,Stridebreaker
VLADIMIR,Hextech Alternator,Epic,0.0351,0,5.88,10,Hextech Rocketbelt,Rabadon's Deathcap,Mejai's Soulstealer
SAMIRA,Steel Sigil,Epic,0.04,1,2.11,30,Caulfield's Warhammer,Immortal Shieldbow,Infinity Edge
TALIYAH,Rylai's Crystal Scepter,Legendary,0.3559,0.619,2.73,20,Liandry's Torment,Zhonya's Hourglass,Blackfire Torch
MISSFORTUNE,Scout's Slingshot,Epic,0.0345,1,7.50,25,Axiom Arc,Infinity Edge,Mortal Reminder
ZAC,Unending Despair,Legendary,0.037,1,1.70,15,Riftmaker,,
IRELIA,Kraken Slayer,Legendary,0.2333,0.7143,1.94,20,Blade Of The Ruined King,Death's Dance,Wit's End
RENEKTON,Tiamat,Epic,0.0154,0,0.29,10,Black Cleaver,Phage,
GRAVES,Oracle Lens,Trinket,0.4762,0.5,2.61,5,Lord Dominik's Regards,The Collector,Infinity Edge
HEIMERDINGER,Rylai's Crystal Scepter,Legendary,0.1429,0,1.22,20,Blackfire Torch,Liandry's Torment,
KATARINA,Liandry's Torment,Legendary,0.0179,0,2.50,20,Hextech Gunblade,,
KAISA,Cloak Of Agility,Basic,0.0194,0,1.07,20,Guinsoo's Rageblade,Kraken Slayer,Fiendhunter Bolts
NUNU,Frozen Heart,Legendary,0.2414,0.1429,2.66,20,Liandry's Torment,Kaenic Rookern,Thornmail
PANTHEON,Pickaxe,Basic,0.125,0.4,2.19,10,Youmuu's Ghostblade,Blade Of The Ruined King,Lord Dominik's Regards
DIANA,Plated Steelcaps,Boots,0.25,0.2963,2.10,15,Dusk And Dawn,Riftmaker,Hextech Rocketbelt
VLADIMIR,Void Staff,Legendary,0.1053,0.6667,4.65,25,Hextech Rocketbelt,Rabadon's Deathcap,Riftmaker
NAMI,Luden's Companion,Legendary,0.0075,0,1.14,15,Cryptbloom,,
